,clientid,museum_id,museum_list,features
1278,fboupnajtw,"['6add9957-7a8c-469f-83da-ff169b0f2050', '3caa2392-510f-4c85-a489-b83e8200ff90', 'bf8b8c20-c838-44b9-a574-303d4b3e66e8', 'a2040f47-849b-4ca6-967e-adee1ee5a930', 'd280a91d-ebc1-4607-afb9-e38a67c862d0', '95a74653-495e-4420-82e0-a1a6195f974d', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', 'd9c3694b-8999-46e7-9264-66e2ca190c86', '98bfd0ed-dbf9-4d89-ae77-bba0a13ce4d0', '5ebaa739-b1a4-443b-9cde-6c0b18e81607']","['Louwman Museum', 'Luchtvaartmuseum Aviodrome', 'Teylers Museum', 'TextielMuseum', 'Wereldmuseum Rotterdam', 'Museum De Lakenhal', 'Rijksmuseum Amsterdam', 'Veiligheidsmuseum PIT', 'Humanity House', 'Museon']","['restaurant', 'exp stories']"
1279,ikpbmlqehn,"['95f9ed82-84f8-402c-89e2-30e0419d552b', 'd280a91d-ebc1-4607-afb9-e38a67c862d0', '971a3945-faba-4021-8d5b-5b6fcd124640', '1335f2de-05b0-4351-8cae-1cb1263b3791', '9f10ad8a-4d3c-4d7e-ab05-5c1bf5adc3f0', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', '8fae9e9b-5c62-477b-9ccc-d9d3ec1d695c', 'eca19b80-47bd-4f8b-8ed0-bdfb159cb0bc', '2c843151-3bfa-4329-8f32-5e969d913214', 'b8038372-8f48-4fcc-84ae-8f2cc86b3a69']","['Drukkerijmuseum Meppel', 'Wereldmuseum Rotterdam', 'Zuiderzeemuseum', 'Het Scheepvaartmuseum', 'Mariniersmuseum', 'Zeeuws Maritiem MuZEEum', 'Nederlands Zilvermuseum', 'Nationaal Vlasserij-Suikermuseum', 'Marinemuseum', 'Geniemuseum']","['military', 'visual historical art']"
1280,trcfxdqjnw,"['d0bf039f-cc00-4511-bb91-94ac191a3c67', '30f51fcc-b373-4b85-9ba0-40d958542540', 'dc333343-ecdf-4502-a6b7-35b8ba5c1684', '55536edf-d8c3-4415-aef5-5ffeb76a2bd5', '3b3c0cbf-7176-4d16-bc60-89eeeb679a76', '630f0ad9-d790-4a77-a847-e7acb31be6d8', '04f3f792-3b2e-4c9a-af48-584f4dd61bfe', 'b0654f59-55d5-4c74-8420-3d3938f861e2', 'f03acb0d-bfe6-45f8-847c-d3fa96aabe1f', 'cc12b367-a374-4c8a-bd04-8b24e412af3c']","['Kasteel Hoensbroek', 'Kasteel Doornenburg', 'Kasteel Doorwerth', 'Kasteel Amerongen', 'Kasteel Radboud', 'De Hollandsche Manege', 'Kasteel Huis Bergh', 'Botanische Tuin De Kruidhof', 'Museumstoomtram Hoorn-Medemblik', 'Nederlands Openluchtmuseum']","['openair', 'castles']"
1281,ighoqwtnzf,"['1f85673a-ba18-4aaf-821a-baf56c7efea7', '179e0120-23f9-434b-804b-172effcfc85d', 'bbcc349c-6f7e-4416-a6f9-1954997e54e6', '7a6bb20e-440e-428d-a735-e417b43aa8a9', 'addebae4-6756-4fe4-b59c-1aac2d80ab8e', '566defb3-a8cf-4ce7-bdb7-9c3e08431673', '3f1b3299-65f6-47c7-a507-56346cab0a5e', 'd545be8a-48d2-4af9-862d-d26a821787e0', 'eba73114-b030-49d1-9108-e60ea8670b3a', 'c40020e4-d23b-4607-9145-7aa020866c04']","['Hermitage Amsterdam', 'De Nieuwe Kerk', 'Stadsmuseum Groenlo', 'Museum Willet-Holthuysen', 'Museum Paulina Bisdom van Vliet', 'Diamant Museum Amsterdam', 'Museum Stedhûs Sleat', 'Paleis Het Loo', 'Museum Het Schip', ""Huygens' Hofwijck""]","['parking', 'historical']"
1282,amjlyrsito,"['f7e3d4b2-ae53-41c5-aa79-cfa323796de7', 'a6fc14aa-84ee-4c59-8801-baf29c2557dd', '0c2e2821-f3fd-4403-8b5a-37cb256b76a2', 'cda45f48-2deb-4062-bd6f-ad4da92c8114', '98910334-b730-446f-9b09-a7cf440699f6', '4f05881b-f742-480c-b13d-91d99c6fc4a2', '4ed3950e-9848-4acc-b32c-17b853e757be', '9d6fdbeb-e330-4eb0-9fa7-cd26adfe7413', '630f0ad9-d790-4a77-a847-e7acb31be6d8', '6b461af0-14c9-4237-9f22-1b60d7452aea']","['Paviljoen Nederland en WOI', 'Museum Huis Doorn', 'Kamp Westerbork', 'Museummolen en molenwinkel De Walvisch', 'Anne Frank Huis', 'Veenkoloniaal Museum', 'Museum Het Rembrandthuis', 'Museum W', 'De Hollandsche Manege', 'Museum Romeinse Katakomben']","['historic_location', 'weelchair']"
1283,yjmafvhcxz,"['d960438f-902d-4c22-820a-383d5992d467', '630f0ad9-d790-4a77-a847-e7acb31be6d8', '971a3945-faba-4021-8d5b-5b6fcd124640', '86530fe9-05f8-4d04-8aae-1a59202425e8', 'd183dcdd-900b-4721-b8a0-c44912e8ce7f', '02f0dab3-4ee5-4c38-a0b8-ae02ed4b06b3', 'f9d5d350-4bab-499a-8f53-2af1f6f25601', '1a918684-33d5-485a-80b7-90a8086803ef', 'b0654f59-55d5-4c74-8420-3d3938f861e2', 'ba678427-5609-42b1-91e2-fd5c845d42c6']","['Forteiland Pampus', 'De Hollandsche Manege', 'Zuiderzeemuseum', 'Feyenoord Museum', 'Fruitteeltmuseum', 'Botanische Tuinen Utrecht', 'Trompenburg Tuinen & Arboretum', 'Buitenplaats Kasteel Wijlre', 'Botanische Tuin De Kruidhof', 'Historische Tuin Aalsmeer']","['gardens', 'visual historical art']"
1284,ftyzvxrukb,"['2c843151-3bfa-4329-8f32-5e969d913214', 'b1d4586f-c77c-43f7-bb72-649f1af68575', '4b596778-4379-48da-a946-0d04e39e3cea', '43342fe3-e57f-4b74-883f-207d1cf0a24b', '9c4bddf8-9bef-46cb-a2ef-5f13ba85884f', 'd0077c9a-8102-4749-ba85-fe2e8b3ef53d', '0d9b11c5-4842-4d97-b105-908bca7c8fa5', '54f9204e-e6fd-4ea3-a352-84484292b8ba', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', 'd9c3694b-8999-46e7-9264-66e2ca190c86']","['Marinemuseum', 'Philips Museum', 'Museum Het Pakhuis', 'De Bastei', 'Nederlands Watermuseum', 'GeoFort', 'Museum Speelklok', 'PreHistorisch Dorp', 'Zeeuws Maritiem MuZEEum', 'Veiligheidsmuseum PIT']","['scavenger', 'library']"
1285,vltidnpbws,"['98910334-b730-446f-9b09-a7cf440699f6', '4f05881b-f742-480c-b13d-91d99c6fc4a2', 'cda45f48-2deb-4062-bd6f-ad4da92c8114', 'aa8279d3-78cf-4af8-8f83-24dd44caabd6', 'a2c1a9f7-97b2-493a-a04c-a760d4066ba9', '1e3aaa11-c04f-43bd-9707-58401ee41056', '92652b8f-7600-4bee-8640-1c40b21a32cf', 'a6fc14aa-84ee-4c59-8801-baf29c2557dd', 'f7e3d4b2-ae53-41c5-aa79-cfa323796de7', '0c2e2821-f3fd-4403-8b5a-37cb256b76a2']","['Anne Frank Huis', 'Veenkoloniaal Museum', 'Museummolen en molenwinkel De Walvisch', 'Amsterdam Museum', 'Museum van de Geest | Dolhuys', 'Hunebedcentrum', 'Museum Van Loon', 'Museum Huis Doorn', 'Paviljoen Nederland en WOI', 'Kamp Westerbork']","['trainstation', 'historic_location']"
1286,qkgxbducov,"['00aa87d7-6034-4283-9a4c-3b9589c30fb4', 'b1132b3d-b239-4a24-a76b-b524ea708479', 'fe92325a-3b6b-4b8b-9a29-49575071df82', '9d3a2998-159f-42de-b069-48efe943607d', '7b137589-30ad-453e-8313-7feeba7c3d51', '6c17c8de-2dd0-4670-b55d-402b84e26787', '86ce2124-88f3-4fce-b174-20b61d0bdaaa', '2adac304-3df6-4588-a60b-c763f29595f9', '97dca6c1-6b1a-4ffe-a048-83ecce6707a5', 'dffe8ae8-e39f-49d2-a41b-004775a406a8']","['Museum Prinsenhof Delft', 'Historisch Museum Ede', 'Vrijmetselarij Museum', 'Gorcums Museum', 'Fotomuseum Den Haag', 'Historisch Museum De Bevelanden', 'Stadskasteel Zaltbommel', 'Historisch Museum Den Briel', 'Beeld en Geluid Den Haag', 'Portugese Synagoge Amsterdam']","['library', 'local history war']"
1287,oykfxujqbh,"['a8d715f7-82f5-4df4-9308-0d33c4c1eaa2', 'acfa8d9d-7062-4b90-b8fa-03a9d8535991', 'dffe8ae8-e39f-49d2-a41b-004775a406a8', 'f9453fa1-3fe4-4c3e-a980-174ddae906fc', '3f96c8bc-3397-4d76-a48a-ee33ca65a8bb', '5adfb94f-9e56-40b1-a93e-766264de3f02', 'eb12d0f0-4e38-4bcf-9848-0295d05335a1', 'f949947c-21cd-4074-bc78-c9039268ab07', 'af698204-4437-411f-a1a9-d5a0fe7d16bb', '1cf7d97e-57d6-4550-be98-8d19ea5ac3a5']","['Koninklijk Paleis Amsterdam', 'Storyworld | Forum Groningen', 'Portugese Synagoge Amsterdam', 'Embassy of the Free Mind', 'Sint Jan Gouda', 'Zwanenbroedershuis', 'Kasteelruïne - Fluweelengrot Valkenburg', 'Museum Menkemaborg', 'Museum Veere', 'Pieter Vermeulen Museum']","['architectonic', 'parking']"
1288,jzbwxfvkso,"['044424ba-e4e7-4de8-b88c-ccaf14cf4c59', '27b9e34f-c9da-47d5-a22e-d5140b9b0d18', '15d80092-895b-45cb-aad9-b1b470cfc177', '5a140fbe-2efc-42e1-ad57-c01ac3a7b409', '1d9c7610-ab17-4f68-ae48-9cefefc32b20', '1e0cce9a-388c-4c99-b2c6-654ad23574aa', '72ac8fe8-829b-4633-8e72-be04100017ed', 'c92918d5-cb45-432d-9874-7b54289beb09', '0aa09155-261b-4190-a561-e593ca877e24', '673dafbb-e461-4ffb-ab3c-f857358c77a7']","['Honig Breethuis', 'Museum Sterrenwacht Sonnenborgh', 'Space Expo', 'Observeum Burgum', 'Continium discovery center', 'Gelders Geologisch Museum', 'Koninklijk Eise Eisinga Planetarium', 'Nederlands Stoommachinemuseum', 'Museum voor anatomie en pathologie', 'Cube Design Museum']","['science', 'discovery anthropology']"
1289,swreqncbvf,"['e45fa2d7-0f3f-4a61-9611-2a5f14be0c39', 'be9f0da1-1fde-448d-845a-cd231dac8c3e', '8f9a43db-d28a-4857-b4e5-2f128210a7ee', 'dee4d70d-ebd6-46c0-b273-c655fe3e6a80', 'a8d2fca6-7408-4b0d-ac2b-1a599469390c', '1e3aaa11-c04f-43bd-9707-58401ee41056', '4981f5e2-5430-48aa-a8e0-726868672a4d', '3dc8fd2b-b27d-4552-8e95-7b51c95c08c9', '621c0554-f8d1-454c-9218-e60683a536ee', 'e9ad0209-89ad-4e53-a353-b7328562f8e6']","['Museum het Petershuis', 'Leudal Museum', ""Museum 't Oude Slot"", 'Museum Hindeloopen', 'Drents Museum', 'Hunebedcentrum', 'Museum Valkenburg', 'Katwijks Museum', 'mij | museum ijsselstein', 'Universiteitsmuseum Groningen']","['nature tech', 'exhibition']"
1290,wpxftjnazv,"['7e411587-1b9d-44f9-ada4-5305bea2798e', 'd7f027c1-49fa-4fa8-a661-43598ed47263', '1f85673a-ba18-4aaf-821a-baf56c7efea7', 'a28f5f86-7181-44e8-9dcc-12ca3f94b4a7', '38609b0d-35a3-43ce-9896-d7c42996b702', '2aab8e4a-58db-4bf4-afe8-06a444b8e56c', 'aa54b14e-fe16-4424-9be9-ca9d8ef84fa7', 'f76d5813-3efb-44c8-beff-5d2a569d7eb3', '95a74653-495e-4420-82e0-a1a6195f974d', '71728b2c-4b17-4855-8663-98a7788acaf0']","['Museum Boijmans Van Beuningen', 'Kunsthal  Rotterdam', 'Hermitage Amsterdam', 'Heerenveen Museum', 'Museum Slager', 'Keramiekmuseum Princessehof', 'Van Gogh Museum', 'Museum Gouda', 'Museum De Lakenhal', 'Groninger Museum']","['visual', 'parking']"
1291,lcrgsqfbxi,"['f42e58c1-d6e6-4bdb-aa51-e0af569e31df', '13f31d31-81bc-4d7a-9347-da1fa9ce5e43', '9adecd58-7f1f-4add-a0e2-8dcdc0d8bbc2', '36da426c-d98f-41bc-ba5a-770e4412f569', '9689a6f1-871a-41e9-8f7d-a67d59ac7b98', 'dffe8ae8-e39f-49d2-a41b-004775a406a8', 'f9453fa1-3fe4-4c3e-a980-174ddae906fc', '5ea552c8-0db1-4e75-b6b0-d5b5933a5f2f', 'd280a91d-ebc1-4607-afb9-e38a67c862d0', '98bfd0ed-dbf9-4d89-ae77-bba0a13ce4d0']","['Joods Historisch Museum', 'Nationaal Holocaust Museum', 'Florence Nightingale Instituut', ""Museum Tromp's Huys"", 'Streekmuseum ""De Meestoof""', 'Portugese Synagoge Amsterdam', 'Embassy of the Free Mind', 'Limburgs Museum', 'Wereldmuseum Rotterdam', 'Humanity House']","['castles cluster', 'ethnology']"
1292,sycbkrqlin,"['5ebaa739-b1a4-443b-9cde-6c0b18e81607', '9231914a-1dac-4afe-b28a-cc37ee7c5bfd', '7a27d9cd-4c8e-41d0-88c4-e0dafb39f84b', '72ac8fe8-829b-4633-8e72-be04100017ed', 'c92918d5-cb45-432d-9874-7b54289beb09', '673dafbb-e461-4ffb-ab3c-f857358c77a7', '1e0cce9a-388c-4c99-b2c6-654ad23574aa', '5a140fbe-2efc-42e1-ad57-c01ac3a7b409', '27b9e34f-c9da-47d5-a22e-d5140b9b0d18', '15d80092-895b-45cb-aad9-b1b470cfc177']","['Museon', 'Streek & Landbouwmuseum Goemanszorg', 'Museum De Voorde', 'Koninklijk Eise Eisinga Planetarium', 'Nederlands Stoommachinemuseum', 'Cube Design Museum', 'Gelders Geologisch Museum', 'Observeum Burgum', 'Museum Sterrenwacht Sonnenborgh', 'Space Expo']","['science', 'restaurant']"
1293,qnecvymlgh,"['3888a423-3411-4928-ba07-b5dc1ce2a080', '8061314a-3e6b-48fe-9f8e-73d62660147d', 'd7f027c1-49fa-4fa8-a661-43598ed47263', 'fde0ab33-2d85-4f29-a0fb-6e13a6f52142', '35fbec41-a299-4e7a-ae03-a063e4d4e5f7', '053014de-f18f-45e3-8dc6-c3f907646311', '56518036-a7ca-43fe-b010-2ddfcec6aca3', '10f92ca9-be97-40d2-b2ad-cb99d5154981', '1a918684-33d5-485a-80b7-90a8086803ef', '078fe561-4a1d-4712-b204-11913bdd57b4']","['Marius van Dokkum Museum', 'Foam Fotografiemuseum Amsterdam', 'Kunsthal  Rotterdam', 'Het Nieuwe Instituut', 'Marie Tak van Poortvliet Museum', 'Museum De Domijnen, afdeling Hedendaagse Kunst', 'Mauritshuis', 'Marres, Huis voor Hedendaagse Kunst', 'Buitenplaats Kasteel Wijlre', 'Kunstvereniging Diepenheim']","['art_galleries', 'castles cluster']"
1294,vihzkenobl,"['04f3f792-3b2e-4c9a-af48-584f4dd61bfe', 'd588a9be-1325-4ed5-a697-a823d4b57655', '55536edf-d8c3-4415-aef5-5ffeb76a2bd5', '9f88e8ae-c589-427e-becb-1e071b215cd1', '1f8bb764-3a9f-4159-b775-829e80c953a2', 'eb12d0f0-4e38-4bcf-9848-0295d05335a1', 'c2219eac-c939-49f6-ba34-325d739caf9b', 'd0bf039f-cc00-4511-bb91-94ac191a3c67', 'a5e644b6-829e-477a-956f-91eb4fa4e1a4', 'b67b0651-df2f-48c8-9793-1024a0c9901e']","['Kasteel Huis Bergh', 'Museum Kasteel Wijchen', 'Kasteel Amerongen', 'Kasteel Keukenhof', 'Rijksmuseum Muiderslot', 'Kasteelruïne - Fluweelengrot Valkenburg', 'Kasteel Rosendael', 'Kasteel Hoensbroek', 'Kasteel Cannenburch', 'Kasteel de Haar']","['exhibition', 'historical collection']"
1295,beikgwtydv,"['cb0ac5e1-e2e8-429e-9b48-54414bf84d2b', '0c2e2821-f3fd-4403-8b5a-37cb256b76a2', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', '1e3aaa11-c04f-43bd-9707-58401ee41056', '98910334-b730-446f-9b09-a7cf440699f6', 'd3f20e16-cca3-412c-8c94-812eb7999f80', 'aa8279d3-78cf-4af8-8f83-24dd44caabd6', 'f7e3d4b2-ae53-41c5-aa79-cfa323796de7', '3df6ef97-9a05-4b69-b1a4-e3789f20dc13', 'a2c1a9f7-97b2-493a-a04c-a760d4066ba9']","['Museum van de Geest | Outsider Art', 'Kamp Westerbork', 'Rijksmuseum Amsterdam', 'Hunebedcentrum', 'Anne Frank Huis', 'Museummolen Schermerhorn', 'Amsterdam Museum', 'Paviljoen Nederland en WOI', 'Museum Paul Tetar van Elven', 'Museum van de Geest | Dolhuys']","['historic_location', 'naval']"
1296,thulwqyaij,"['dffe8ae8-e39f-49d2-a41b-004775a406a8', '2d859675-3803-40fe-8724-56d33734a322', 'b5023390-ced1-4210-a14c-23c349b2ee15', '9689a6f1-871a-41e9-8f7d-a67d59ac7b98', '5ebaa739-b1a4-443b-9cde-6c0b18e81607', '5ea552c8-0db1-4e75-b6b0-d5b5933a5f2f', 'd280a91d-ebc1-4607-afb9-e38a67c862d0', 'f42e58c1-d6e6-4bdb-aa51-e0af569e31df', '60780e37-d503-4b56-b1d5-a46c2358eb41', '029464f3-265b-4b69-a71d-cdd346b53c34']","['Portugese Synagoge Amsterdam', 'Bureau Europa', 'Afrika Museum', 'Streekmuseum ""De Meestoof""', 'Museon', 'Limburgs Museum', 'Wereldmuseum Rotterdam', 'Joods Historisch Museum', 'Streekmuseum Etten Leur', 'Tropenmuseum Junior']","['restaurant', 'ethnology']"
1297,lmxekfcgan,"['505d548a-6b67-416a-b85a-15dee47e855b', '1d9c7610-ab17-4f68-ae48-9cefefc32b20', 'd9c3694b-8999-46e7-9264-66e2ca190c86', 'd94a7ad1-c6b5-45e5-9b97-4597799ea184', 'b1d4586f-c77c-43f7-bb72-649f1af68575', '55cdb198-f29d-466f-a4d9-a3a5dc9a3ec5', '5ebaa739-b1a4-443b-9cde-6c0b18e81607', '9231914a-1dac-4afe-b28a-cc37ee7c5bfd', '6add9957-7a8c-469f-83da-ff169b0f2050', '3caa2392-510f-4c85-a489-b83e8200ff90']","['Oyfo Techniekmuseum', 'Continium discovery center', 'Veiligheidsmuseum PIT', 'Nederlands Steendrukmuseum', 'Philips Museum', 'Jenevermuseum', 'Museon', 'Streek & Landbouwmuseum Goemanszorg', 'Louwman Museum', 'Luchtvaartmuseum Aviodrome']","['exp stories', 'exhibition']"
1298,tzknhpjlbg,"['59402691-8308-4222-bc19-7cc9f20e1d88', '80a37d9f-37d1-466f-96c2-b65044666fbe', 'c2219eac-c939-49f6-ba34-325d739caf9b', '9f88e8ae-c589-427e-becb-1e071b215cd1', '04f3f792-3b2e-4c9a-af48-584f4dd61bfe', '30f51fcc-b373-4b85-9ba0-40d958542540', 'd0bf039f-cc00-4511-bb91-94ac191a3c67', '55536edf-d8c3-4415-aef5-5ffeb76a2bd5', 'a5e644b6-829e-477a-956f-91eb4fa4e1a4', '3b3c0cbf-7176-4d16-bc60-89eeeb679a76']","['Kasteel Heeswijk', 'Kasteel Duivenvoorde', 'Kasteel Rosendael', 'Kasteel Keukenhof', 'Kasteel Huis Bergh', 'Kasteel Doornenburg', 'Kasteel Hoensbroek', 'Kasteel Amerongen', 'Kasteel Cannenburch', 'Kasteel Radboud']","['castles', 'nature']"
1299,pgfdcijthv,"['e16ae770-865f-47d5-99ff-6ae6fc094217', '179e0120-23f9-434b-804b-172effcfc85d', 'aa8279d3-78cf-4af8-8f83-24dd44caabd6', '6ed658b1-4ce7-4df9-9472-4b0271d044a3', 'c40020e4-d23b-4607-9145-7aa020866c04', 'd579493e-5364-4327-b712-d231508db640', 'eba73114-b030-49d1-9108-e60ea8670b3a', '49ad034f-9424-4d89-aab5-8df3c2112ff4', '1f85673a-ba18-4aaf-821a-baf56c7efea7', 'd545be8a-48d2-4af9-862d-d26a821787e0']","['Weegschaal Museum Naarden', 'De Nieuwe Kerk', 'Amsterdam Museum', 'Allard Pierson', ""Huygens' Hofwijck"", 'Portrait Gallery of the 17th Century', 'Museum Het Schip', 'Markiezenhof', 'Hermitage Amsterdam', 'Paleis Het Loo']","['library', 'historical']"
1300,vmgfbqkscd,"['8fae9e9b-5c62-477b-9ccc-d9d3ec1d695c', '621c0554-f8d1-454c-9218-e60683a536ee', '4c123cbb-afaa-4150-94ff-4b94dfc60b4f', '1259b27a-48fb-48d4-adbb-31329be57921', 'd545be8a-48d2-4af9-862d-d26a821787e0', '971a3945-faba-4021-8d5b-5b6fcd124640', '93062e20-901e-46a2-b1f4-107cd82e7ed5', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', '3dc8fd2b-b27d-4552-8e95-7b51c95c08c9', 'd280a91d-ebc1-4607-afb9-e38a67c862d0']","['Nederlands Zilvermuseum', 'mij | museum ijsselstein', 'Museum Helmond', 'Stadsmuseum Harderwijk', 'Paleis Het Loo', 'Zuiderzeemuseum', 'Nationaal Tinnen Figuren Museum', 'Rijksmuseum Amsterdam', 'Katwijks Museum', 'Wereldmuseum Rotterdam']","['visual', 'visual historical art']"
1301,mvicwubadx,"['93ee982c-adfd-4233-8260-6bb567853af9', '2c843151-3bfa-4329-8f32-5e969d913214', '77dc3244-2ab9-4340-bb76-d29401097a09', 'ab5e9944-251c-48d4-879d-115525f2e298', '7810d0eb-0034-457b-9cf7-ae7aa21e104f', '8fae9e9b-5c62-477b-9ccc-d9d3ec1d695c', 'f82c9249-ae42-4690-bcbc-9db3f55db2d0', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', '69295701-69e0-47c2-89c5-1586e4f3f64a', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1']","['Natura Docet Wonderryck Twente', 'Marinemuseum', 'Museum Kaap Skil', 'Natuurhistorisch Museum Rotterdam', 'Rijksmuseum Amsterdam', 'Nederlands Zilvermuseum', 'Natuurmuseum Fryslân', 'Belasting & Douane Museum', 'Nationaal Baggermuseum', 'Zeeuws Maritiem MuZEEum']","['exhibition', 'library']"
1302,npkazdixjt,"['1f85673a-ba18-4aaf-821a-baf56c7efea7', 'd7f027c1-49fa-4fa8-a661-43598ed47263', '95a74653-495e-4420-82e0-a1a6195f974d', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', '5ea552c8-0db1-4e75-b6b0-d5b5933a5f2f', '5ebaa739-b1a4-443b-9cde-6c0b18e81607', 'a2040f47-849b-4ca6-967e-adee1ee5a930', '92f68db4-1a4e-4847-990b-9710c4696e9a', '0d9b11c5-4842-4d97-b105-908bca7c8fa5', 'd9c3694b-8999-46e7-9264-66e2ca190c86']","['Hermitage Amsterdam', 'Kunsthal  Rotterdam', 'Museum De Lakenhal', 'Zeeuws Maritiem MuZEEum', 'Limburgs Museum', 'Museon', 'TextielMuseum', 'Beeld en Geluid', 'Museum Speelklok', 'Veiligheidsmuseum PIT']","['culture', 'weelchair']"
1303,neskwpryvz,"['f82c9249-ae42-4690-bcbc-9db3f55db2d0', '02f0dab3-4ee5-4c38-a0b8-ae02ed4b06b3', '4c123cbb-afaa-4150-94ff-4b94dfc60b4f', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', 'd9c3694b-8999-46e7-9264-66e2ca190c86', 'd960438f-902d-4c22-820a-383d5992d467', 'd1e42c4d-d176-4833-98a8-a3fb4a725b91', '4cb403ef-21c9-4731-86a2-f9f32bd44487', '04f3f792-3b2e-4c9a-af48-584f4dd61bfe', '1f8bb764-3a9f-4159-b775-829e80c953a2']","['Natuurmuseum Fryslân', 'Botanische Tuinen Utrecht', 'Museum Helmond', 'Belasting & Douane Museum', 'Veiligheidsmuseum PIT', 'Forteiland Pampus', 'Museumpark Archeon', 'Brabants Museum Oud Oosterhout', 'Kasteel Huis Bergh', 'Rijksmuseum Muiderslot']","['scavenger', 'openair']"
1304,xnyfcowvpb,"['1f85673a-ba18-4aaf-821a-baf56c7efea7', 'b1d4586f-c77c-43f7-bb72-649f1af68575', '71728b2c-4b17-4855-8663-98a7788acaf0', 'd0077c9a-8102-4749-ba85-fe2e8b3ef53d', '5ea552c8-0db1-4e75-b6b0-d5b5933a5f2f', '0d9b11c5-4842-4d97-b105-908bca7c8fa5', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', '3f3b1b62-9a79-46dd-97dd-3a3e6edf74d1', 'f82c9249-ae42-4690-bcbc-9db3f55db2d0', '54f9204e-e6fd-4ea3-a352-84484292b8ba']","['Hermitage Amsterdam', 'Philips Museum', 'Groninger Museum', 'GeoFort', 'Limburgs Museum', 'Museum Speelklok', 'Belasting & Douane Museum', 'Zeeuws Maritiem MuZEEum', 'Natuurmuseum Fryslân', 'PreHistorisch Dorp']","['exp stories', 'scavenger']"
1305,bgosfexruq,"['98910334-b730-446f-9b09-a7cf440699f6', 'f7e3d4b2-ae53-41c5-aa79-cfa323796de7', '630f0ad9-d790-4a77-a847-e7acb31be6d8', '044424ba-e4e7-4de8-b88c-ccaf14cf4c59', 'a6fc14aa-84ee-4c59-8801-baf29c2557dd', 'cda45f48-2deb-4062-bd6f-ad4da92c8114', '1e3aaa11-c04f-43bd-9707-58401ee41056', 'aa8279d3-78cf-4af8-8f83-24dd44caabd6', '3df6ef97-9a05-4b69-b1a4-e3789f20dc13', '4f05881b-f742-480c-b13d-91d99c6fc4a2']","['Anne Frank Huis', 'Paviljoen Nederland en WOI', 'De Hollandsche Manege', 'Honig Breethuis', 'Museum Huis Doorn', 'Museummolen en molenwinkel De Walvisch', 'Hunebedcentrum', 'Amsterdam Museum', 'Museum Paul Tetar van Elven', 'Veenkoloniaal Museum']","['exp stories', 'historic_location']"
1306,mwznqkufep,"['aa8279d3-78cf-4af8-8f83-24dd44caabd6', 'a2c1a9f7-97b2-493a-a04c-a760d4066ba9', '6b461af0-14c9-4237-9f22-1b60d7452aea', '9d6fdbeb-e330-4eb0-9fa7-cd26adfe7413', '98910334-b730-446f-9b09-a7cf440699f6', '4f05881b-f742-480c-b13d-91d99c6fc4a2', '044424ba-e4e7-4de8-b88c-ccaf14cf4c59', 'a6fc14aa-84ee-4c59-8801-baf29c2557dd', '0c2e2821-f3fd-4403-8b5a-37cb256b76a2', '630f0ad9-d790-4a77-a847-e7acb31be6d8']","['Amsterdam Museum', 'Museum van de Geest | Dolhuys', 'Museum Romeinse Katakomben', 'Museum W', 'Anne Frank Huis', 'Veenkoloniaal Museum', 'Honig Breethuis', 'Museum Huis Doorn', 'Kamp Westerbork', 'De Hollandsche Manege']","['weelchair', 'historic_location']"
1307,ugxhmqeowj,"['39c0d207-7edc-4e51-82bb-e0d0da3576d4', '3b0519ec-a69a-4f2f-8ea2-a5ac4428d096', 'f42df924-d7b0-44e0-b996-2936871c504e', '41a0a29c-a655-4f51-979c-7fa624b303ea', '9c7d3144-c492-4dbe-9c4e-6ced41468747', 'ddc06b8b-9dd1-4768-be15-75477b0f104a', '5248e557-c948-4103-813a-8ffb30305466', '9457c575-1900-4fc7-aca3-c7e1a1f26826', 'a42cba4d-03ab-449a-8fb5-a24fb363afa5', '39602e5d-e0c7-4304-aa89-ba9d234d12fa']","['Stadhuismuseum Zierikzee', 'Nederlands Fotomuseum', 'Museum van de Vrouw', 'Tongerlohuys', 'Watersnoodmuseum', 'Spoorwegmuseum', 'Nederlands Tegelmuseum', 'CODA', 'Belasting & Douane Museum', 'Het Cuypershuis']","['art_museum', 'discovery anthropology']"
